_id,ValueID,value,timeStamp
5dee0d6a8e15b3086c2c8b48,12430012063.Z1_Axis.Actual_Position_MCS,-328.63,2019-12-09 09:00:00.176
5dee0d6a8e15b3086c2c8b55,12430012063.Z1_Axis.Actual_Position_MCS,-329.23,2019-12-09 09:00:00.380
5dee0d6b8e15b3086c2c8b75,12430012063.Z1_Axis.Actual_Position_MCS,-327.85,2019-12-09 09:00:00.995
5dee0d6b8e15b3086c2c8b81,12430012063.Z1_Axis.Actual_Position_MCS,-329.61,2019-12-09 09:00:01.209
5dee0d6c8e15b3086c2c8b91,12430012063.Z1_Axis.Actual_Position_MCS,-331.39,2019-12-09 09:00:01.405
5dee0d6c8e15b3086c2c8b9a,12430012063.Z1_Axis.Actual_Position_MCS,-333.18,2019-12-09 09:00:01.573
5dee0d6c8e15b3086c2c8ba6,12430012063.Z1_Axis.Actual_Position_MCS,-334.96,2019-12-09 09:00:01.778
5dee0d6c8e15b3086c2c8bb0,12430012063.Z1_Axis.Actual_Position_MCS,-336.52,2019-12-09 09:00:01.984
5dee0d6d8e15b3086c2c8bd9,12430012063.Z1_Axis.Actual_Position_MCS,-335.94,2019-12-09 09:00:02.807
5dee0d6d8e15b3086c2c8be9,12430012063.Z1_Axis.Actual_Position_MCS,-337.72,2019-12-09 09:00:02.980
5dee0d6d8e15b3086c2c8bf6,12430012063.Z1_Axis.Actual_Position_MCS,-339.5,2019-12-09 09:00:03.175
5dee0d6e8e15b3086c2c8c02,12430012063.Z1_Axis.Actual_Position_MCS,-341.29,2019-12-09 09:00:03.371
5dee0d6e8e15b3086c2c8c0b,12430012063.Z1_Axis.Actual_Position_MCS,-343.05,2019-12-09 09:00:03.578
5dee0d6e8e15b3086c2c8c1a,12430012063.Z1_Axis.Actual_Position_MCS,-343.09,2019-12-09 09:00:03.777
5dee0d6f8e15b3086c2c8c38,12430012063.Z1_Axis.Actual_Position_MCS,-342.25,2019-12-09 09:00:04.377
5dee0d6f8e15b3086c2c8c43,12430012063.Z1_Axis.Actual_Position_MCS,-344.03,2019-12-09 09:00:04.580
5dee0d6f8e15b3086c2c8c51,12430012063.Z1_Axis.Actual_Position_MCS,-345.81,2019-12-09 09:00:04.780
5dee0d6f8e15b3086c2c8c5c,12430012063.Z1_Axis.Actual_Position_MCS,-347.6,2019-12-09 09:00:04.973
5dee0d6f8e15b3086c2c8c66,12430012063.Z1_Axis.Actual_Position_MCS,-348.99,2019-12-09 09:00:05.179
5dee0d708e15b3086c2c8c81,12430012063.Z1_Axis.Actual_Position_MCS,-348.97,2019-12-09 09:00:05.816
5dee0d708e15b3086c2c8c8f,12430012063.Z1_Axis.Actual_Position_MCS,-348.55,2019-12-09 09:00:06.000
5dee0d708e15b3086c2c8c9b,12430012063.Z1_Axis.Actual_Position_MCS,-350.33,2019-12-09 09:00:06.174
5dee0d718e15b3086c2c8ca5,12430012063.Z1_Axis.Actual_Position_MCS,-352.11,2019-12-09 09:00:06.370
5dee0d718e15b3086c2c8cb3,12430012063.Z1_Axis.Actual_Position_MCS,-353.89,2019-12-09 09:00:06.582
5dee0d718e15b3086c2c8cc4,12430012063.Z1_Axis.Actual_Position_MCS,-354.3,2019-12-09 09:00:06.779
5dee0d728e15b3086c2c8cde,12430012063.Z1_Axis.Actual_Position_MCS,-353.11,2019-12-09 09:00:07.383
5dee0d728e15b3086c2c8cea,12430012063.Z1_Axis.Actual_Position_MCS,-354.89,2019-12-09 09:00:07.590
5dee0d728e15b3086c2c8cf3,12430012063.Z1_Axis.Actual_Position_MCS,-356.68,2019-12-09 09:00:07.772
5dee0d728e15b3086c2c8cfc,12430012063.Z1_Axis.Actual_Position_MCS,-358.46,2019-12-09 09:00:07.972
5dee0d728e15b3086c2c8d07,12430012063.Z1_Axis.Actual_Position_MCS,-359.09,2019-12-09 09:00:08.176
5dee0d738e15b3086c2c8d1b,12430012063.Z1_Axis.Actual_Position_MCS,-357.7,2019-12-09 09:00:08.773
